NOM / Fournisseur,DATE,Commentaire,CHARGES € HT,n°,Signataire,Type doc,Réf Gestion,N° Facture,Valideur,
Maitre ANSEL,24/02/2023,honoraire février - référé,"875,00 €",,LDE,facture,F17,,,
OGEBA,01/03/2023,Mise en forme des 3 options base vie,"1 800,00 €",,LDE,Devis étude,,,,
BTP Consultant,21/03/2023,PV conformité installation chantier,"600,00 €",,LDE,facture,S1E,,,
MORNING,22/03/2023,loyer bureau Morning mars Louis,"106,45 €",2024-03-031,LDE,prélèvement,S1E,,,
MORNING,22/03/2023,loyer bureau Morning avril Louis,"300,00 €",2024-03-032,LDE,prélèvement,S1E,,,
DANIELE VEGRO,29/03/2023,Présentation Témoins client 29/03,"1 500,00 €",23.08,LDE,facture,F14,,,
VERBAVOX,30/03/2023,Traduction présentation phasage client,"160,00 €",,LDE,Devis étude,,,,
AIDF,03/04/2023,1600Autorisation+600Procedure+400dossier police,"2 600,00 €",2023/03/0307,LDE,facture,F3,,,
KREIS DESIGN,06/04/2023,Présentation Témoins client 29/03,"1 485,00 €",2023-03-08,LDE,facture,F14,,,
OGEBA,06/04/2023,Phasage chantier 2D Coupes présentation client 29/03,"1 600,00 €",FC10898,LDE,facture,S2,,,
ALTRAD,24/04/2023,Echafaudage Ascenseur + escalier R2 cour - AVRIL,"2 250,00 €",2301612,LDE,facture,S1G,,,
AIDF,24/04/2023,Installation panneaux voirie,"656,70 €",FAC 2023 04 0034,LDE,facture,F3,,,
MORNING,27/04/2023,loyer bureau Morning avril Mic + Mai Lou+Mic,"909,68 €",2024-03-029,LDE,prélèvement,S1E,,,
MORNING,22/05/2023,loyer bureau JUIN Lo+MI+CE / Mai Celia,"777,10 €",2023-05-039,LDE,prélèvement,S1E,,,
BC2E EDI,26/05/2023,Contrôle visuel retrait amiante SS + ascenseur,"350,00 €",751100996,LDE,facture,S3A,,,
ECR STUDIO,08/06/2023,Renders présentation client avril 23,"2 400,00 €",,LDE,facture,F14,,,
ALTRAD,14/06/2023,Echafaudage Ascenseur + escalier R2 cour - Mai,"8 590,00 €",2302136,LDE,facture,S1G,,,
SOIB,20/06/2023,achat divers chantier,"1 392,79 €",DV065595,MLP,virement,S1E,,,
ECODROP,18/07/2023,retrait déchet 20/06/23,"216,75 €",2306-81796,LDE,facture,S1A,,,
VEGEA,19/06/2023,gilets chantier,"344,50 €",,LDE,facture,S1E,,,
MGA,04/10/2023,Travaux base vie,"3 005,00 €",,MLP,facture,S1E,,,
BALBO,26/06/2023,modif EU EV chantier SS,"850,00 €",,LDE,facture,S1E,,,
MORNING,26/06/2023,Réunion Juin - facture juillet,"90,00 €",,LDE,facture,S1E,,,
BC2E EDI,26/06/2023,relevé amiante,"80,00 €",,LDE,facture,S3A,,,
AQUATYCIA,05/07/2023,test eau base vie,"626,00 €",,MLP,virement,S1E,,,
BRUNEAU,05/07/2023,papier ,"40,90 €",,LDE,facture,S1E,,,
BRUNEAU,05/07/2023,encre imprimante,"365,35 €",,LDE,facture,S1E,,,
LOUVION HUISSIER,06/07/2023,Constat huissier base vie 30/06,"489,20 €",,LDE,facture,S1E,,,
TRYCICLE,13/07/2023,table armoire chaise base vie encadrement,"651,00 €",,LDE,virement,S1E,,,
LEP,12/07/2023,location tunnel rue juin 23,"1 162,00 €",,LDE,facture,S1G,,,
AMAZON,12/07/2023,support TV,"22,99 €",,LDE,facture,S1E,,,
POLYSIGN,08/08/2023,2 Baches ATELIERS DE FRANCE,"198,00 €",,MLP,virement,S1E,,,
M ANCEL,21/07/2023,frais avocat 22/02 au 19/07/2023,"1 875,00 €",,LDE,facture,F17,,,
BALBO,24/07/2023,modif EU EV chantier SS,"875,00 €",,LDE,devis,S1E,,,
BT sécurité,08/08/2023,serrure à code/badge,"227,08 €",,MLP,virement,S1E,,,
ECODROP,21/08/2023,retrait déchet 13/07,"235,50 €",,LDE,facture,S1A,,,
ALTRAD,21/08/2023,location base vie juillet 12,"403,00 €",,LDE,facture,S1G,,,
LEP,21/08/2023,location tunnel rue juillet 23,"36,00 €",,LDE,facture,S1G,,,
Envyrho,09/10/2023,achat rémoplat,"2 905,00 €",FA03321,LDE,facture,S1A,,,
